MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924810,0.1640000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,24.5340000,0.0664426,0.2791809,-0.1641638
MsgID.LOCAL_VELOCITY,24.5340000,-0.0000091,0.0000080,0.0000180
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924798,0.1220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,24.7840000,-0.0695996,0.2795072,-0.1220923
MsgID.LOCAL_VELOCITY,24.7840000,0.0000215,0.0000187,0.0000140
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924800,0.0740000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,25.0340000,-0.0441372,0.2795072,-0.0747388
MsgID.LOCAL_VELOCITY,25.0340000,0.0000138,-0.0000225,0.0000193
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924789,0.0280000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,25.2840000,-0.1735061,0.2791823,-0.0284097
MsgID.LOCAL_VELOCITY,25.2840000,-0.0000100,-0.0000267,0.0000170
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924794,-0.0100000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,25.5340000,-0.1144192,0.2796505,0.0109619
MsgID.LOCAL_VELOCITY,25.5340000,-0.0000127,0.0000008,0.0000201
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924808,-0.0370000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,25.7840000,0.0413253,0.2693857,0.0376776
MsgID.LOCAL_VELOCITY,25.7840000,-0.0000094,0.0000113,-0.0000226
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924809,-0.0470000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,26.0340000,0.0482897,0.2702045,0.0475285
MsgID.LOCAL_VELOCITY,26.0340000,0.0000293,0.0000037,0.0000390
MsgID.GLOBAL_POSITION,0.0000000,-122.3974490,37.7924789,-0.0380000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,26.2840000,-0.1673077,0.3798387,0.0380847
MsgID.LOCAL_VELOCITY,26.2840000,-0.0000006,0.0000216,0.0000094
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924784,-0.0100000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,26.5340000,-0.2211613,0.4106838,0.0100077
MsgID.LOCAL_VELOCITY,26.5340000,-0.0000057,-0.0000075,0.0000099
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924787,0.0320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,26.7840000,-0.1918487,0.2527999,-0.0327465
